year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,1,1,-13.3,-16.7,15.0
2009,1,1,2,-13.3,-16.1,26.0
2009,1,1,3,-12.2,-15.6,0.0
2009,1,1,4,-11.7,-15.0,0.0
2009,1,1,5,-11.1,-15.0,15.0
2009,1,1,6,,,
2009,1,1,7,-9.4,-14.4,31.0
2009,1,1,8,-8.9,-13.9,31.0
2009,1,1,9,-8.3,-13.9,41.0
2009,1,1,10,-7.8,-13.9,57.0
2009,1,1,11,-7.2,-13.3,46.0
2009,1,1,12,-7.2,-12.8,41.0
2009,1,1,13,-6.7,-12.2,51.0
2009,1,1,14,-6.7,-11.7,62.0
2009,1,1,15,-5.6,-11.1,57.0
2009,1,1,16,-5.0,-10.6,67.0
2009,1,1,17,-4.4,-10.6,77.0
2009,1,1,18,-3.9,-10.6,88.0
2009,1,1,19,-3.3,-10.0,62.0
2009,1,1,20,-2.2,-9.4,67.0
2009,1,1,21,-2.2,-8.9,62.0
2009,1,1,22,-1.7,-7.8,67.0
2009,1,1,23,-1.7,-7.2,51.0
2009,1,2,0,-1.7,-6.7,46.0
2009,1,2,1,-1.7,-6.7,46.0
2009,1,2,2,-1.7,-6.7,67.0
2009,1,2,3,-2.2,-6.7,67.0
2009,1,2,4,-2.8,-6.7,57.0
2009,1,2,5,-2.8,-6.7,67.0
2009,1,2,6,,,
2009,1,2,7,-3.9,-7.2,57.0
2009,1,2,8,-3.9,-6.7,46.0
2009,1,2,9,-3.9,-6.7,51.0
2009,1,2,10,-3.9,-6.7,67.0
2009,1,2,11,-2.8,-7.8,103.0
2009,1,2,12,-2.8,-8.3,118.0
2009,1,2,13,-4.4,-9.4,57.0
2009,1,2,14,-5.6,-11.7,67.0
2009,1,2,15,-6.1,-13.3,72.0
2009,1,2,16,-6.7,-13.3,67.0
2009,1,2,17,-6.1,-15.0,67.0
2009,1,2,18,-6.1,-15.0,62.0
2009,1,2,19,-5.6,-14.4,62.0
2009,1,2,20,-5.6,-15.0,62.0
2009,1,2,21,-6.1,-15.6,41.0
2009,1,2,22,-6.1,-15.0,51.0
2009,1,2,23,-7.8,-15.0,21.0
2009,1,3,0,-8.9,-15.6,15.0
2009,1,3,1,-8.9,-15.6,15.0
2009,1,3,2,-10.6,-15.0,15.0
2009,1,3,3,-10.0,-16.1,15.0
2009,1,3,4,-11.1,-15.6,0.0
2009,1,3,5,-10.6,-15.0,15.0
2009,1,3,6,,,
2009,1,3,7,-10.0,-15.0,0.0
2009,1,3,8,-10.0,-14.4,0.0
2009,1,3,9,-10.0,-13.9,0.0
2009,1,3,10,-10.0,-12.2,0.0
2009,1,3,11,-6.1,-8.9,15.0
2009,1,3,12,-3.3,-6.7,46.0
2009,1,3,13,-2.8,-6.1,57.0
2009,1,3,14,-2.2,-5.6,67.0
2009,1,3,15,-1.7,-5.6,62.0
2009,1,3,16,-1.7,-5.6,82.0
2009,1,3,17,-1.1,-5.6,77.0
2009,1,3,18,-1.1,-5.6,72.0
2009,1,3,19,-0.6,-5.0,88.0
2009,1,3,20,-0.6,-5.0,88.0
2009,1,3,21,-0.6,-5.0,103.0
2009,1,3,22,0.0,-4.4,82.0
2009,1,3,23,0.6,-4.4,67.0
2009,1,4,0,1.1,-4.4,93.0
2009,1,4,1,1.1,-4.4,88.0
2009,1,4,2,1.1,-3.9,82.0
2009,1,4,3,1.7,-3.9,93.0
2009,1,4,4,1.1,-3.3,77.0
2009,1,4,5,1.1,-2.8,77.0
2009,1,4,6,,,
2009,1,4,7,1.1,-1.7,62.0
2009,1,4,8,1.7,-1.1,67.0
2009,1,4,9,1.0,1.0,36.0
2009,1,4,10,1.1,0.6,0.0
2009,1,4,11,1.1,0.6,0.0
2009,1,4,12,0.6,0.0,15.0
2009,1,4,13,0.6,0.0,31.0
2009,1,4,14,0.6,0.0,41.0
2009,1,4,15,1.1,-0.6,46.0
2009,1,4,16,1.1,-1.1,62.0
2009,1,4,17,0.6,-1.7,57.0
